STATUS | wrapper  | 2024/05/05 20:55:19 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/05/05 20:55:20 | Launching a JVM...
INFO   | jvm 1    | 2024/05/05 20:55:20 | NOTE: Picked up JDK_JAVA_OPTIONS: --add-reads=java.xml=java.logging --add-opens java.base/java.security=ALL-UNNAMED --add-opens java.base/java.net=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/java.util=ALL-UNNAMED --add-opens java.base/java.util.concurrent=ALL-UNNAMED --add-opens java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens java.naming/javax.naming.spi=ALL-UNNAMED --add-opens java.rmi/sun.rmi.transport.tcp=ALL-UNNAMED --add-opens java.base/sun.nio.ch=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.http=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.https=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.jar=ALL-UNNAMED --add-exports=jdk.xml.dom/org.w3c.dom.html=ALL-UNNAMED --add-exports=jdk.naming.rmi/com.sun.jndi.url.rmi=ALL-UNNAMED
INFO   | jvm 1    | 2024/05/05 20:55:20 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2024/05/05 20:55:20 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2024/05/05 20:55:20 | 
INFO   | jvm 1    | 2024/05/05 20:55:20 | Java Runtime: Oracle Corporation 21.0.2 C:\Program Files\Java\jdk-21
INFO   | jvm 1    | 2024/05/05 20:55:20 |   Heap sizes: current=1048576k  free=1033726k  max=1048576k
INFO   | jvm 1    | 2024/05/05 20:55:20 |     JVM args: --add-reads=java.xml=java.logging --add-opens=java.base/java.security=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.naming/javax.naming.spi=ALL-UNNAMED --add-opens=java.rmi/sun.rmi.transport.tcp=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.http=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.https=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.jar=ALL-UNNAMED --add-exports=jdk.xml.dom/org.w3c.dom.html=ALL-UNNAMED --add-exports=jdk.naming.rmi/com.sun.jndi.url.rmi=ALL-UNNAMED -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Djolokia.conf=file:..\\..\\conf\\jolokia-access.xml -Xms1024m -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=NvEL4OcOxFXGuer_ -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=12696 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2024/05/05 20:55:20 | Extensions classpath:
INFO   | jvm 1    | 2024/05/05 20:55:20 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2024/05/05 20:55:20 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2024/05/05 20:55:20 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2024/05/05 20:55:20 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2024/05/05 20:55:20 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2024/05/05 20:55:21 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Starting KahaDBStore
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Opening MessageDatabase
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Starting Temp Data Store
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | PListStore:[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Starting Job Scheduler Store
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Persistence Adapter successfully started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Apache ActiveMQ 6.1.2 (localhost, ID:DESKTOP-P5VGONQ-54118-1714931722761-0:1) is starting
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Listening for connections at: tcp://DESKTOP-P5VGONQ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Connector openwire started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Listening for connections at: amqp://DESKTOP-P5VGONQ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Connector amqp started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Listening for connections at: stomp://DESKTOP-P5VGONQ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Connector stomp started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Listening for connections at: mqtt://DESKTOP-P5VGONQ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2024/05/05 20:55:22 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2024/05/05 20:55:23 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@38801b38{/,null,STARTING} has uncovered HTTP methods for the following paths: [/]
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | Listening for connections at ws://DESKTOP-P5VGONQ:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | Connector ws started
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | Apache ActiveMQ 6.1.2 (localhost, ID:DESKTOP-P5VGONQ-54118-1714931722761-0:1) started
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2024/05/05 20:55:23 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
ERROR  | wrapper  | 2024/05/05 21:48:06 | JVM exited unexpectedly.
